epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,3724.95,1.60902,1.09436,0.92284,0.73396,0.72551,0.68858,0.27253,1.96316,1.36961,0.96341,0.000621029,0.000621029,0.000621029
162,3748.26,1.63712,1.13693,0.9174,0.73654,0.71363,0.71056,0.27396,1.9622,1.36909,0.96208,0.000619229,0.000619229,0.000619229
163,3770.99,1.56519,0.98035,0.89368,0.78981,0.70462,0.74262,0.30349,1.93715,1.33618,0.96195,0.000617429,0.000617429,0.000617429
164,3793.97,1.56004,0.98089,0.91144,0.75983,0.74231,0.72774,0.29227,1.93579,1.33591,0.96133,0.000615629,0.000615629,0.000615629
165,3818.13,1.70208,1.16376,0.91746,0.76638,0.72006,0.71586,0.26927,1.99495,1.39784,0.96864,0.00061383,0.00061383,0.00061383
166,3841.85,1.61896,1.11224,0.92637,0.73344,0.69038,0.68614,0.25305,2.00269,1.4185,0.96618,0.00061203,0.00061203,0.00061203
167,3865.5,1.67834,1.11357,0.89777,0.76776,0.68228,0.68534,0.26186,2.0082,1.37339,0.96765,0.00061023,0.00061023,0.00061023
168,3888.62,1.65592,1.02315,0.90252,0.73121,0.62937,0.65539,0.23202,2.05686,1.42015,0.97432,0.00060843,0.00060843,0.00060843
169,3911.14,1.65532,1.0829,0.9239,0.7215,0.66357,0.66083,0.23327,2.0476,1.4473,0.97404,0.00060663,0.00060663,0.00060663
170,3934.5,1.5754,1.12745,0.90598,0.7414,0.64582,0.66953,0.25118,2.01247,1.40915,0.97545,0.00060483,0.00060483,0.00060483
171,3957.61,1.62111,1.11956,0.90507,0.77475,0.661,0.69822,0.27976,1.98104,1.32398,0.98128,0.000603031,0.000603031,0.000603031
172,3980.23,1.67831,1.074,0.91462,0.75997,0.66248,0.67135,0.27645,1.97506,1.30953,0.97783,0.000601231,0.000601231,0.000601231
173,4003.93,1.55603,1.07342,0.90708,0.72962,0.65605,0.67919,0.27004,1.96695,1.3333,0.96925,0.000599431,0.000599431,0.000599431
174,4026.43,1.55548,1.00886,0.90207,0.69248,0.62771,0.64438,0.24912,1.95315,1.32343,0.96748,0.000597631,0.000597631,0.000597631
175,4049.18,1.55784,0.94883,0.87951,0.70909,0.67143,0.68317,0.25834,1.92096,1.26929,0.96651,0.000595831,0.000595831,0.000595831
176,4072.35,1.66737,1.07462,0.92163,0.7878,0.71902,0.70467,0.26462,1.94052,1.23291,0.96682,0.000594031,0.000594031,0.000594031
177,4094.89,1.6255,1.10869,0.89825,0.71783,0.64842,0.64784,0.24184,2.05029,1.30562,0.97791,0.000592232,0.000592232,0.000592232
178,4117.89,1.57063,1.08675,0.87571,0.65784,0.64717,0.63914,0.22692,2.11591,1.38219,0.98395,0.000590432,0.000590432,0.000590432
