epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,2984.98,0.52667,1.28916,0.48585,0.95312,0.96221,0.89336,0.94314,0.73284,0.91079,0.91228,0.89659,0.47685,0.79375,2.65123,0.57768,1.17578,0.000218,0.000218,0.000218
92,3014.44,0.51131,1.20038,0.46015,0.92274,0.94528,0.90923,0.94404,0.73656,0.90881,0.8743,0.88614,0.45943,0.81666,2.83648,0.58148,1.19645,0.0001982,0.0001982,0.0001982
93,3043.72,0.55308,1.22031,0.48083,0.98129,0.87078,0.94578,0.93746,0.72566,0.89223,0.87719,0.87963,0.44694,0.82547,2.91696,0.58647,1.20008,0.0001784,0.0001784,0.0001784
94,3073.29,0.52565,1.17602,0.46695,0.96553,0.9444,0.89399,0.93863,0.72056,0.89012,0.85276,0.87821,0.45136,0.82277,2.99025,0.58874,1.20193,0.0001586,0.0001586,0.0001586
95,3103.09,0.50835,1.11016,0.46202,0.92819,0.97596,0.89474,0.95384,0.73165,0.84822,0.88248,0.87748,0.45825,0.82152,3.03332,0.58276,1.19546,0.0001388,0.0001388,0.0001388
96,3132.51,0.4947,1.13882,0.45508,0.92418,0.94373,0.91228,0.95221,0.75017,0.8497,0.91228,0.88592,0.46665,0.78421,3.0503,0.57593,1.1819,0.000119,0.000119,0.000119
97,3161.84,0.49298,1.03232,0.45169,0.916,0.91921,0.91228,0.93784,0.75773,0.88129,0.91228,0.88999,0.47422,0.77517,3.04925,0.5706,1.18402,9.92e-05,9.92e-05,9.92e-05
98,3191.91,0.50109,1.09615,0.44442,0.91743,0.96314,0.91682,0.93921,0.75579,0.91185,0.91228,0.89168,0.47089,0.77923,3.06088,0.57235,1.19496,7.94e-05,7.94e-05,7.94e-05
99,3221.27,0.50503,1.12741,0.45495,0.92158,0.97556,0.94737,0.9662,0.75675,0.9258,0.91228,0.8927,0.47491,0.78692,3.09689,0.56143,1.20291,5.96e-05,5.96e-05,5.96e-05
100,3250.63,0.46872,1.08017,0.43673,0.91447,0.98055,0.94737,0.96655,0.75391,0.92846,0.91228,0.89326,0.47113,0.78612,3.1029,0.55138,1.1996,3.98e-05,3.98e-05,3.98e-05
